11,12,3
12,11,3
11,15,4
15,11,4
12,16,2.5
16,12,2.5
15,16,4
16,15,4
16,110,3
110,16,3
110,112,2
112,110,2
110,114,5.5
114,110,5.5
112,115,2
115,112,2
114,115,7
115,114,7
21,22,1
22,21,1
22,23,5
23,22,5
23,210,10
210,23,10
21,28,15
28,21,15
213,28,2
28,213,2
28,29,6
29,28,6
29,210,4
210,29,4
31,35,5
35,31,5
35,311,1
311,35,1
311,314,5
314,311,5
36,314,8
314,36,8
39,37,5
37,39,5
37,315,10
315,37,10
11,21,0
21,11,0
11,31,0
31,11,0
21,31,0
31,21,0
22,12,0
12,22,0
15,35,0
35,15,0
16,36,0
36,16,0
29,39,0
39,29,0
110,210,0
210,110,0
114,314,0
314,114,0
115,315,0
315,115,0
